# Date      2023_rel2 w/ seasonal signals and GIA removed (mm)
2002.379      -1.949
2002.406      -2.211
2002.433      -4.641
2002.46      -1.877
2002.487      1.861
2002.514      -0.932
2002.542      0.125
2002.569      1.548
2002.596      2.363
2002.623      4.147
2002.65      -0.518
2002.677      -2.851
2002.705      -2.305
2002.732      -0.751
2002.759      -1.085
2002.786      1.906
2002.813      6.315
2002.84      -0.392
2002.868      0.466
2002.895      4.16
2002.922      2.04
2002.949      1.832
2002.976      0.969
2003.003      -1.303
2003.031      -2.295
2003.058      5.219
2003.085      4.974
2003.112      6.991
2003.139      1.204
2003.166      0.152
2003.194      1.282
2003.221      3.117
2003.248      2.488
2003.275      1.7
2003.302      -0.054
2003.329      0.999
2003.357      2.028
2003.384      2.168
2003.411      1.978
2003.438      -0.187
2003.465      1.237
2003.492      -1.169
2003.52      -0.938
2003.547      3.218
2003.574      1.516
2003.601      1.32
2003.628      -2.593
2003.655      0.259
2003.683      2.623
2003.71      1.453
2003.737      0.763
2003.764      3.288
2003.791      1.54
2003.818      1.504
2003.846      0.473
2003.871      0.67
2003.927      3.743
2003.954      2.53
2003.981      -0.449
2004.009      0.984
2004.036      6.431
2004.063      6.715
2004.09      4.742
2004.113      -1.599
2004.148      3.859
2004.171      4.076
2004.198      3.1
2004.225      3.24
2004.251      5.509
2004.279      4.335
2004.307      7.793
2004.334      2.644
2004.361      1.755
2004.388      -0.221
2004.415      3.866
2004.442      2.971
2004.469      2.861
2004.496      6.821
2004.523      6.656
2004.55      5.091
2004.577      1.575
2004.605      2.624
2004.632      5.216
2004.659      4.985
2004.686      5.914
2004.713      8.773
2004.74      4.717
2004.767      5.578
2004.794      6.865
2004.821      5.463
2004.848      6.43
2004.875      7.411
2004.902      2.734
2004.93      5.665
2004.957      7.348
2004.984      13.457
2005.011      6.845
2005.038      5.48
2005.065      8.551
2005.092      8.268
2005.12      10.263
2005.147      10.053
2005.174      13.79
2005.201      12.514
2005.228      6.558
2005.255      7.739
2005.283      11.57
2005.31      8.222
2005.337      10.37
2005.364      10.674
2005.391      9.385
2005.418      10.454
2005.446      10.724
2005.473      11.481
2005.5      10.007
2005.527      11.81
2005.554      8.119
2005.582      9.638
2005.609      6.229
2005.636      7.626
2005.663      9.315
2005.69      8.973
2005.712      8.499
2005.749      9.801
2005.772      10.87
2005.799      8.917
2005.826      9.567
2005.853      12.979
2005.88      11.892
2005.907      12.033
2005.935      11.469
2005.962      11.942
2005.989      12.832
2006.016      10.293
2006.043      7.398
2006.07      8.84
2006.098      9.642
2006.125      9.204
2006.152      9.281
2006.179      11.113
2006.206      6.139
2006.233      9.388
2006.261      7.985
2006.288      7.716
2006.315      7.169
2006.342      8.013
2006.369      11.703
2006.396      12.892
2006.424      11.623
2006.451      12.16
2006.478      11.274
2006.505      12.757
2006.532      13.621
2006.559      11.8
2006.587      9.799
2006.614      7.585
2006.641      11.093
2006.668      13.907
2006.695      13.105
2006.722      13.954
2006.75      12.19
2006.777      12.573
2006.804      13.278
2006.823      12.103
2006.888      12.691
2006.913      11.575
2006.939      16.031
2006.967      13.933
2006.994      13.202
2007.021      9.736
2007.048      7.211
2007.076      10.839
2007.103      11.099
2007.13      11.842
2007.157      13.508
2007.184      10.136
2007.211      11.064
2007.239      11.126
2007.266      13.625
2007.293      14.462
2007.32      12.716
2007.347      7.553
2007.374      12.129
2007.402      13.493
2007.429      12.79
2007.456      10.087
2007.483      9.759
2007.51      10.3
2007.537      8.826
2007.565      7.03
2007.592      7.858
2007.619      12.841
2007.646      9.363
2007.673      7.005
2007.7      7.445
2007.728      12.226
2007.755      11.144
2007.782      9.987
2007.809      10.85
2007.836      8.104
2007.863      11.898
2007.891      16.405
2007.918      16.077
2007.945      14.272
2007.972      9.021
2007.999      9.568
2008.026      12.273
2008.053      14.617
2008.08      14.401
2008.108      11.152
2008.135      12.178
2008.162      9.133
2008.189      12.659
2008.216      13.89
2008.243      11.553
2008.27      11.258
2008.297      12.299
2008.324      11.653
2008.345      12.037
2008.379      17.551
2008.406      19.589
2008.433      17.659
2008.46      16.123
2008.487      17.461
2008.514      18.268
2008.541      14.866
2008.568      13.793
2008.595      12.612
2008.622      15.196
2008.649      13.127
2008.676      12.587
2008.704      11.224
2008.731      13.768
2008.758      14.021
2008.785      14.501
2008.812      14.498
2008.839      13.481
2008.866      14.698
2008.893      13.682
2008.92      18.058
2008.947      14.652
2008.975      13.332
2009.002      15.165
2009.029      15.753
2009.056      16.779
2009.083      15.045
2009.11      13.172
2009.137      15.091
2009.165      16.548
2009.192      16.172
2009.219      16.806
2009.246      16.474
2009.273      16.583
2009.3      17.727
2009.328      16.79
2009.355      16.214
2009.382      15.762
2009.409      14.783
2009.436      16.632
2009.463      17.072
2009.491      15.557
2009.518      14.132
2009.545      16.701
2009.572      20.609
2009.599      18.017
2009.626      17.903
2009.654      18.303
2009.681      18.897
2009.708      21.109
2009.735      20.296
2009.762      19.797
2009.789      20.725
2009.817      22.686
2009.844      23.917
2009.871      20.97
2009.898      21.777
2009.925      19.562
2009.952      18.551
2009.98      23.915
2010.007      20.723
2010.034      20.081
2010.061      19.477
2010.088      16.116
2010.115      20.219
2010.143      22.829
2010.17      25.971
2010.197      19.196
2010.224      19.734
2010.251      18.709
2010.278      21.726
2010.306      21.384
2010.333      18.935
2010.36      19.649
2010.387      23.177
2010.414      22.47
2010.441      23.482
2010.469      23.861
2010.496      23.121
2010.523      21.356
2010.55      22.291
2010.577      20.075
2010.604      18.273
2010.632      18.816
2010.659      14.185
2010.686      15.614
2010.713      15.473
2010.74      14.517
2010.767      14.678
2010.795      17.475
2010.822      16.283
2010.849      15.26
2010.876      15.947
2010.903      13.274
2010.93      14.465
2010.958      14.987
2010.985      17.293
2011.012      14.575
2011.039      13.904
2011.066      15.67
2011.093      15.581
2011.121      15.572
2011.148      14.959
2011.175      15.695
2011.202      16.219
2011.229      12.664
2011.256      14.846
2011.284      14.379
2011.311      14.431
2011.338      11.479
2011.365      16.28
2011.392      17.287
2011.419      17.35
2011.447      19.412
2011.474      21.46
2011.501      19.478
2011.528      19.372
2011.555      18.076
2011.582      18.438
2011.61      21.88
2011.637      22.079
2011.664      21.573
2011.691      19.639
2011.718      18.547
2011.745      20.748
2011.773      21.769
2011.8      24.028
2011.827      19.089
2011.854      18.21
2011.881      20.029
2011.908      24.474
2011.936      23.309
2011.963      23.281
2011.99      22.367
2012.017      25.022
2012.044      25.021
2012.071      26.457
2012.098      25.942
2012.125      26.904
2012.152      25.181
2012.18      24.218
2012.207      23.944
2012.234      25.394
2012.261      24.485
2012.288      25.016
2012.315      25.369
2012.342      25.913
2012.369      27.203
2012.396      26.592
2012.423      26.229
2012.45      31.173
2012.478      29.974
2012.505      29.757
2012.532      32.621
2012.559      33.9
2012.586      31.347
2012.613      31.233
2012.64      26.939
2012.667      30.448
2012.694      29.138
2012.721      32.377
2012.748      31.812
2012.776      32.571
2012.803      29.965
2012.83      30.558
2012.857      32.304
2012.884      32.34
2012.911      31.494
2012.938      34.99
2012.965      31.857
2012.992      32.935
2013.019      32.38
2013.047      31.888
2013.074      34.307
2013.101      33.977
2013.128      31.827
2013.155      33.297
2013.182      35.127
2013.21      33.459
2013.268      32.741
2013.291      29.343
2013.318      32.497
2013.345      33.037
2013.373      30.624
2013.4      29.993
2013.427      29.904
2013.454      29.617
2013.481      31.406
2013.508      29.964
2013.536      29.266
2013.563      31.121
2013.59      30.954
2013.617      26.138
2013.644      26.954
2013.668      29.907
2013.705      27.695
2013.726      28.567
2013.753      29.261
2013.78      29.68
2013.807      33.22
2013.834      34.354
2013.862      33.565
2013.889      33.129
2013.916      32.996
2013.943      29.492
2013.97      30.547
2013.997      32.402
2014.025      32.546
2014.052      33.897
2014.079      33.486
2014.106      34.731
2014.133      36.464
2014.16      37.123
2014.188      36.454
2014.215      35.585
2014.242      35.546
2014.269      34.75
2014.296      34.389
2014.323      31.844
2014.351      31.785
2014.378      32.547
2014.405      33.69
2014.432      33.967
2014.459      34.64
2014.486      36.286
2014.514      36.868
2014.541      36.966
2014.568      34.193
2014.595      36.512
2014.622      38.496
2014.649      38.427
2014.677      36.249
2014.704      36.224
2014.731      33.868
2014.758      35.421
2014.785      38.401
2014.812      38.898
2014.84      36.408
2014.867      35.932
2014.894      32.721
2014.921      35.399
2014.948      42.692
2014.975      39.432
2015.003      35.297
2015.03      38.279
2015.057      38.799
2015.084      41.86
2015.111      42.382
2015.138      45.598
2015.166      44.752
2015.193      42.377
2015.22      41.912
2015.247      43.681
2015.274      45.092
2015.301      44.236
2015.329      44.099
2015.356      42.321
2015.383      41.265
2015.41      44.581
2015.437      45.623
2015.464      46.854
2015.492      47.831
2015.519      45.997
2015.546      46.36
2015.573      46.962
2015.6      48.669
2015.627      46.255
2015.655      50.759
2015.682      51.16
2015.709      49.081
2015.736      49.88
2015.763      50.593
2015.79      51.432
2015.818      53.304
2015.845      50.145
2015.872      47.505
2015.899      50.416
2015.926      49.403
2015.953      47.891
2015.981      46.651
2016.008      44.154
2016.035      49.406
2016.062      52.896
2016.089      48.429
2016.116      51.528
2016.143      50.329
2016.17      50.971
2016.197      49.696
2016.224      52.734
2016.224      53.534
2016.252      50.517
2016.279      50.435
2016.306      47.484
2016.333      46.435
2016.36      46.449
2016.387      45.977
2016.414      48.87
2016.441      48.082
2016.468      49.881
2016.495      48.149
2016.522      47.592
2016.55      47.191
2016.577      44.275
2016.604      43.573
2016.631      42.563
2016.658      45.628
2016.685      47.35
2016.712      46.999
2016.739      44.732
2016.766      43.181
2016.793      46.657
2016.82      46.743
2016.848      48.33
2016.875      49.811
2016.902      53.834
2016.929      50.025
2016.956      48.109
2016.983      47.522
2017.01      46.915
2017.037      49.256
2017.064      47.633
2017.092      46.468
2017.119      45.755
2017.146      46.847
2017.173      47.985
2017.2      48.21
2017.227      48.652
2017.255      50.239
2017.282      47.862
2017.309      48.312
2017.336      48.061
2017.363      48.968
2017.39      45.484
2017.418      48.254
2017.445      47.937
2017.472      47.702
2017.499      47.636
2017.526      48.347
2017.553      48.762
2017.581      51.486
2017.608      49.978
2017.635      49.074
2017.662      50.357
2017.689      52.508
2017.716      51.996
2017.744      48.761
2017.771      48.67
2017.798      49.205
2017.825      51.646
2017.852      54.349
2017.879      54.356
2017.907      56.033
2017.934      55.028
2017.961      54.903
2017.988      52.298
2018.015      53.064
2018.042      53.875
2018.07      54.24
2018.097      53.83
2018.124      51.196
2018.151      49.875
2018.178      54.308
2018.205      54.134
2018.233      51.588
2018.26      49.177
2018.287      51.807
2018.314      52.959
2018.341      52.804
2018.368      52.398
2018.396      51.592
2018.423      52.629
2018.45      52.473
2018.477      52.096
2018.504      52.688
2018.531      54.259
2018.559      54.3
2018.586      52.547
2018.613      53.233
2018.64      52.939
2018.667      54.248
2018.694      56.738
2018.722      55.054
2018.749      57.901
2018.776      55.171
2018.803      57.465
2018.83      59.758
2018.857      58.004
2018.885      55.977
2018.912      54.334
2018.939      55.731
2018.966      56.395
2018.993      56.269
2019.02      55.508
2019.048      61.211
2019.075      57.523
2019.102      58.888
2019.129      58.635
2019.187      59.349
2019.211      60.664
2019.238      57.92
2019.259      59.069
2019.292      57.952
2019.319      61.007
2019.346      62.345
2019.374      59.329
2019.401      58.393
2019.428      58.997
2019.455      63.002
2019.482      61.482
2019.509      61.632
2019.537      61.426
2019.564      60.676
2019.591      61.406
2019.618      64.39
2019.645      65.308
2019.672      63.345
2019.7      63.845
2019.727      62.246
2019.754      60.752
2019.781      62.483
2019.808      61.735
2019.835      60.478
2019.863      64.198
2019.89      63.167
2019.917      63.837
2019.944      65.332
2019.971      64.084
2019.998      62.535
2020.026      60.173
2020.053      57.517
2020.074      60.107
2020.134      62.671
2020.161      60.728
2020.188      63.054
2020.215      59.785
2020.242      62.146
2020.269      62.35
2020.296      59.989
2020.324      60.653
2020.351      62.985
2020.378      62.647
2020.405      62.19
2020.432      63.467
2020.458      61.356
2020.486      62.886
2020.513      62.702
2020.54      63.606
2020.567      63.739
2020.594      63.261
2020.622      60.196
2020.649      61.827
2020.676      62.687
2020.703      62.554
2020.73      61.887
2020.757      64.528
2020.784      64.096
2020.809      63.45
2020.839      65.581
2020.865      64.564
2020.892      62.244
2020.92      65.558
2020.947      64.452
2020.974      64.196
2021.001      65.633
2021.028      66.727
2021.055      67.559
2021.082      68.131
2021.109      64.762
2021.137      62.391
2021.164      61.643
2021.191      63.768
2021.218      65.201
2021.245      68.067
2021.272      67.275
2021.3      66.627
2021.327      63.881
2021.354      66.607
2021.381      69.158
2021.408      67.585
2021.435      64.641
2021.463      67.172
2021.49      66.784
2021.517      68.267
2021.544      66.543
2021.571      68.455
2021.598      69.766
2021.626      70.103
2021.653      65.648
2021.68      67.834
2021.707      70.437
2021.734      68.914
2021.761      69.203
2021.789      69.625
2021.816      70.967
2021.843      69.489
2021.87      67.235
2021.897      70.038
2021.924      72.421
2021.952      67.951
2021.979      66.679
2022.006      68.792
2022.033      71.456
2022.06      71.958
2022.087      69.202
2022.115      70.219
2022.142      65.923
2022.169      65.567
2022.196      68.991
2022.223      68.129
2022.25      68.902
2022.278      71.226
2022.305      67.574
2022.332      70.226
2022.359      66.842
2022.386      68.474
2022.413      67.173
2022.441      68.682
2022.468      66.581
2022.495      70.349
2022.522      73.492
2022.549      74.734
2022.576      70.722
2022.604      66.473
2022.631      68.363
2022.658      68.728
2022.685      71.95
2022.712      72.599
2022.739      73.332
2022.767      71.178
2022.794      68.965
2022.821      69.363
2022.848      73.33
2022.875      70.711
2022.902      71.134
2022.93      68.465
2022.957      73.848
2022.984      74.357
2023.011      73.245
2023.038      76.58
2023.065      75.051
2023.093      71.881
2023.12      70.763
2023.147      71.553
2023.174      73.69
2023.201      75.714
2023.228      73.858
2023.256      69.946
2023.283      67.87
2023.31      71.522
2023.337      72.67
2023.364      76.674
2023.391      75.285
2023.419      74.95
2023.446      73.824
2023.473      75.281
2023.5      78.907
2023.527      82.01
2023.554      79.219
2023.582      79.438
2023.609      80.729
2023.636      79.726
2023.663      81.715
2023.685      80.75
